Start Station,Start Terminal,End Station,End Terminal,Trips
San Francisco City Hall,58,Harry Bridges Plaza (Ferry Building),50,56
San Francisco City Hall,58,Embarcadero at Folsom,51,9
San Francisco City Hall,58,Embarcadero at Bryant,54,7
San Francisco City Hall,58,Temporary Transbay Terminal,55,39
San Francisco City Hall,58,Beale at Market,56,32
San Francisco City Hall,58,5th at Howard,57,40
San Francisco City Hall,58,San Francisco City Hall,58,131
San Francisco City Hall,58,Golden Gate at Polk,59,53
San Francisco City Hall,58,Embarcadero at Sansome,60,111
San Francisco City Hall,58,2nd at Townsend,61,82
San Francisco City Hall,58,2nd at Folsom,62,44
San Francisco City Hall,58,Howard at 2nd,63,37
San Francisco City Hall,58,2nd at South Park,64,23
San Francisco City Hall,58,Townsend at 7th,65,92
San Francisco City Hall,58,South Van Ness at Market,66,79
San Francisco City Hall,58,Market at 10th,67,42
San Francisco City Hall,58,Yerba Buena Center of the Arts (3rd @ Howard),68,30
San Francisco City Hall,58,San Francisco Caltrain 2 (330 Townsend),69,295
San Francisco City Hall,58,San Francisco Caltrain (Townsend at 4th),70,84
San Francisco City Hall,58,Powell at Post (Union Square),71,53
San Francisco City Hall,58,Civic Center BART (7th at Market),72,44
San Francisco City Hall,58,Grant Avenue at Columbus Avenue,73,31
San Francisco City Hall,58,Steuart at Market,74,70
San Francisco City Hall,58,Mechanics Plaza (Market at Battery),75,85
San Francisco City Hall,58,Market at 4th,76,128
San Francisco City Hall,58,Market at Sansome,77,144
San Francisco City Hall,58,Broadway St at Battery St,82,8
Golden Gate at Polk,59,Powell Street BART,39,123
Golden Gate at Polk,59,Clay at Battery,41,27
Golden Gate at Polk,59,Davis at Jackson,42,8
Golden Gate at Polk,59,Commercial at Montgomery,45,22
Golden Gate at Polk,59,Washington at Kearny,46,32
Golden Gate at Polk,59,Post at Kearny,47,81
Golden Gate at Polk,59,Embarcadero at Vallejo,48,9
Golden Gate at Polk,59,Spear at Folsom,49,26
Golden Gate at Polk,59,Harry Bridges Plaza (Ferry Building),50,55
Golden Gate at Polk,59,Embarcadero at Folsom,51,17
Golden Gate at Polk,59,Embarcadero at Bryant,54,9
Golden Gate at Polk,59,Temporary Transbay Terminal,55,189
Golden Gate at Polk,59,Beale at Market,56,202
Golden Gate at Polk,59,5th at Howard,57,151
Golden Gate at Polk,59,San Francisco City Hall,58,30
Golden Gate at Polk,59,Golden Gate at Polk,59,70
Golden Gate at Polk,59,Embarcadero at Sansome,60,117
Golden Gate at Polk,59,2nd at Townsend,61,47
Golden Gate at Polk,59,2nd at Folsom,62,10
Golden Gate at Polk,59,Howard at 2nd,63,19
Golden Gate at Polk,59,2nd at South Park,64,16
Golden Gate at Polk,59,Townsend at 7th,65,284
Golden Gate at Polk,59,South Van Ness at Market,66,78
Golden Gate at Polk,59,Market at 10th,67,232
Golden Gate at Polk,59,Yerba Buena Center of the Arts (3rd @ Howard),68,112
Golden Gate at Polk,59,San Francisco Caltrain 2 (330 Townsend),69,543
Golden Gate at Polk,59,San Francisco Caltrain (Townsend at 4th),70,93
Golden Gate at Polk,59,Powell at Post (Union Square),71,37
Golden Gate at Polk,59,Civic Center BART (7th at Market),72,49
Golden Gate at Polk,59,Grant Avenue at Columbus Avenue,73,15
Golden Gate at Polk,59,Steuart at Market,74,149
Golden Gate at Polk,59,Mechanics Plaza (Market at Battery),75,69
Golden Gate at Polk,59,Market at 4th,76,99
Golden Gate at Polk,59,Market at Sansome,77,173
Golden Gate at Polk,59,Broadway St at Battery St,82,100
Embarcadero at Sansome,60,Powell Street BART,39,327
Embarcadero at Sansome,60,Clay at Battery,41,424
Embarcadero at Sansome,60,Davis at Jackson,42,367
Embarcadero at Sansome,60,Commercial at Montgomery,45,115
Embarcadero at Sansome,60,Washington at Kearny,46,226
Embarcadero at Sansome,60,Post at Kearny,47,107
Embarcadero at Sansome,60,Embarcadero at Vallejo,48,258
Embarcadero at Sansome,60,Spear at Folsom,49,169
Embarcadero at Sansome,60,Harry Bridges Plaza (Ferry Building),50,1506
Embarcadero at Sansome,60,Embarcadero at Folsom,51,661
Embarcadero at Sansome,60,Embarcadero at Bryant,54,496
Embarcadero at Sansome,60,Temporary Transbay Terminal,55,591
Embarcadero at Sansome,60,Beale at Market,56,543
Embarcadero at Sansome,60,5th at Howard,57,68
Embarcadero at Sansome,60,San Francisco City Hall,58,27
Embarcadero at Sansome,60,Golden Gate at Polk,59,151
Embarcadero at Sansome,60,Embarcadero at Sansome,60,774
Embarcadero at Sansome,60,2nd at Townsend,61,477
Embarcadero at Sansome,60,2nd at Folsom,62,41
Embarcadero at Sansome,60,Howard at 2nd,63,97
Embarcadero at Sansome,60,2nd at South Park,64,94
Embarcadero at Sansome,60,Townsend at 7th,65,72
Embarcadero at Sansome,60,South Van Ness at Market,66,206
Embarcadero at Sansome,60,Market at 10th,67,110
Embarcadero at Sansome,60,Yerba Buena Center of the Arts (3rd @ Howard),68,93
Embarcadero at Sansome,60,San Francisco Caltrain 2 (330 Townsend),69,332
Embarcadero at Sansome,60,San Francisco Caltrain (Townsend at 4th),70,711
Embarcadero at Sansome,60,Powell at Post (Union Square),71,184
Embarcadero at Sansome,60,Civic Center BART (7th at Market),72,104
Embarcadero at Sansome,60,Grant Avenue at Columbus Avenue,73,201
Embarcadero at Sansome,60,Steuart at Market,74,2605
Embarcadero at Sansome,60,Mechanics Plaza (Market at Battery),75,397
Embarcadero at Sansome,60,Market at 4th,76,302
Embarcadero at Sansome,60,Market at Sansome,77,403
Embarcadero at Sansome,60,Broadway St at Battery St,82,178
2nd at Townsend,61,Powell Street BART,39,99
2nd at Townsend,61,Clay at Battery,41,195
2nd at Townsend,61,Davis at Jackson,42,453
2nd at Townsend,61,Commercial at Montgomery,45,160
2nd at Townsend,61,Washington at Kearny,46,51
2nd at Townsend,61,Post at Kearny,47,101
2nd at Townsend,61,Embarcadero at Vallejo,48,264
2nd at Townsend,61,Spear at Folsom,49,315
2nd at Townsend,61,Harry Bridges Plaza (Ferry Building),50,2781
2nd at Townsend,61,Embarcadero at Folsom,51,607
2nd at Townsend,61,Embarcadero at Bryant,54,141
2nd at Townsend,61,Temporary Transbay Terminal,55,952
2nd at Townsend,61,Beale at Market,56,204
2nd at Townsend,61,5th at Howard,57,110
2nd at Townsend,61,San Francisco City Hall,58,59
2nd at Townsend,61,Golden Gate at Polk,59,25
2nd at Townsend,61,Embarcadero at Sansome,60,385
2nd at Townsend,61,2nd at Townsend,61,212
2nd at Townsend,61,2nd at Folsom,62,339
2nd at Townsend,61,Howard at 2nd,63,581
2nd at Townsend,61,2nd at South Park,64,192
2nd at Townsend,61,Townsend at 7th,65,861
2nd at Townsend,61,South Van Ness at Market,66,50
2nd at Townsend,61,Market at 10th,67,76
2nd at Townsend,61,Yerba Buena Center of the Arts (3rd @ Howard),68,141
2nd at Townsend,61,San Francisco Caltrain 2 (330 Townsend),69,291
2nd at Townsend,61,San Francisco Caltrain (Townsend at 4th),70,843
2nd at Townsend,61,Powell at Post (Union Square),71,104
2nd at Townsend,61,Civic Center BART (7th at Market),72,49
2nd at Townsend,61,Grant Avenue at Columbus Avenue,73,94
2nd at Townsend,61,Steuart at Market,74,1396
2nd at Townsend,61,Mechanics Plaza (Market at Battery),75,243
2nd at Townsend,61,Market at 4th,76,195
2nd at Townsend,61,Market at Sansome,77,1337
2nd at Townsend,61,Broadway St at Battery St,82,183
2nd at Folsom,62,San Jose City Hall,10,1
2nd at Folsom,62,Powell Street BART,39,181
2nd at Folsom,62,Clay at Battery,41,55
2nd at Folsom,62,Davis at Jackson,42,58
2nd at Folsom,62,Commercial at Montgomery,45,206
2nd at Folsom,62,Washington at Kearny,46,68
2nd at Folsom,62,Post at Kearny,47,44
2nd at Folsom,62,Embarcadero at Vallejo,48,44
2nd at Folsom,62,Spear at Folsom,49,331
2nd at Folsom,62,Harry Bridges Plaza (Ferry Building),50,621
2nd at Folsom,62,Embarcadero at Folsom,51,98
2nd at Folsom,62,Embarcadero at Bryant,54,62
2nd at Folsom,62,Temporary Transbay Terminal,55,412
2nd at Folsom,62,Beale at Market,56,56
2nd at Folsom,62,5th at Howard,57,140
2nd at Folsom,62,San Francisco City Hall,58,37
2nd at Folsom,62,Golden Gate at Polk,59,19
2nd at Folsom,62,Embarcadero at Sansome,60,65
2nd at Folsom,62,2nd at Townsend,61,620
2nd at Folsom,62,2nd at Folsom,62,79
2nd at Folsom,62,Howard at 2nd,63,103
2nd at Folsom,62,2nd at South Park,64,240
2nd at Folsom,62,Townsend at 7th,65,207
2nd at Folsom,62,South Van Ness at Market,66,34
2nd at Folsom,62,Market at 10th,67,166
2nd at Folsom,62,Yerba Buena Center of the Arts (3rd @ Howard),68,115
2nd at Folsom,62,San Francisco Caltrain 2 (330 Townsend),69,532
2nd at Folsom,62,San Francisco Caltrain (Townsend at 4th),70,1171
2nd at Folsom,62,Powell at Post (Union Square),71,73
2nd at Folsom,62,Civic Center BART (7th at Market),72,84
2nd at Folsom,62,Grant Avenue at Columbus Avenue,73,66
2nd at Folsom,62,Steuart at Market,74,137
2nd at Folsom,62,Mechanics Plaza (Market at Battery),75,66
2nd at Folsom,62,Market at 4th,76,96
2nd at Folsom,62,Market at Sansome,77,1131
2nd at Folsom,62,Broadway St at Battery St,82,44
Howard at 2nd,63,Powell Street BART,39,89
Howard at 2nd,63,Clay at Battery,41,44
Howard at 2nd,63,Davis at Jackson,42,20
Howard at 2nd,63,Commercial at Montgomery,45,69
Howard at 2nd,63,Washington at Kearny,46,50
Howard at 2nd,63,Post at Kearny,47,103
Howard at 2nd,63,Embarcadero at Vallejo,48,45
Howard at 2nd,63,Spear at Folsom,49,54
Howard at 2nd,63,Harry Bridges Plaza (Ferry Building),50,341
Howard at 2nd,63,Embarcadero at Folsom,51,114
Howard at 2nd,63,Embarcadero at Bryant,54,85
Howard at 2nd,63,Temporary Transbay Terminal,55,114
Howard at 2nd,63,Beale at Market,56,27
Howard at 2nd,63,5th at Howard,57,266
Howard at 2nd,63,San Francisco City Hall,58,69
Howard at 2nd,63,Golden Gate at Polk,59,36
Howard at 2nd,63,Embarcadero at Sansome,60,98
Howard at 2nd,63,2nd at Townsend,61,532
Howard at 2nd,63,2nd at Folsom,62,24
Howard at 2nd,63,Howard at 2nd,63,72
Howard at 2nd,63,2nd at South Park,64,286
Howard at 2nd,63,Townsend at 7th,65,465
Howard at 2nd,63,South Van Ness at Market,66,86
Howard at 2nd,63,Market at 10th,67,143
Howard at 2nd,63,Yerba Buena Center of the Arts (3rd @ Howard),68,68
Howard at 2nd,63,San Francisco Caltrain 2 (330 Townsend),69,1202
Howard at 2nd,63,San Francisco Caltrain (Townsend at 4th),70,1910
Howard at 2nd,63,Powell at Post (Union Square),71,93
Howard at 2nd,63,Civic Center BART (7th at Market),72,49
Howard at 2nd,63,Grant Avenue at Columbus Avenue,73,57
Howard at 2nd,63,Steuart at Market,74,345
Howard at 2nd,63,Mechanics Plaza (Market at Battery),75,59
Howard at 2nd,63,Market at 4th,76,198
Howard at 2nd,63,Market at Sansome,77,344
Howard at 2nd,63,Broadway St at Battery St,82,24
2nd at South Park,64,Powell Street BART,39,179
2nd at South Park,64,Clay at Battery,41,71
2nd at South Park,64,Davis at Jackson,42,99
2nd at South Park,64,Commercial at Montgomery,45,94
2nd at South Park,64,Washington at Kearny,46,140
2nd at South Park,64,Post at Kearny,47,244
2nd at South Park,64,Embarcadero at Vallejo,48,191
2nd at South Park,64,Spear at Folsom,49,98
2nd at South Park,64,Harry Bridges Plaza (Ferry Building),50,920
2nd at South Park,64,Embarcadero at Folsom,51,133
2nd at South Park,64,Embarcadero at Bryant,54,56
2nd at South Park,64,Temporary Transbay Terminal,55,312
2nd at South Park,64,Beale at Market,56,66
2nd at South Park,64,5th at Howard,57,64
2nd at South Park,64,San Francisco City Hall,58,18
2nd at South Park,64,Golden Gate at Polk,59,26
2nd at South Park,64,Embarcadero at Sansome,60,136
2nd at South Park,64,2nd at Townsend,61,231
2nd at South Park,64,2nd at Folsom,62,154
2nd at South Park,64,Howard at 2nd,63,396
2nd at South Park,64,2nd at South Park,64,75
2nd at South Park,64,Townsend at 7th,65,246
2nd at South Park,64,South Van Ness at Market,66,69
2nd at South Park,64,Market at 10th,67,142
2nd at South Park,64,Yerba Buena Center of the Arts (3rd @ Howard),68,107
2nd at South Park,64,San Francisco Caltrain 2 (330 Townsend),69,244
2nd at South Park,64,San Francisco Caltrain (Townsend at 4th),70,639
2nd at South Park,64,Powell at Post (Union Square),71,146
2nd at South Park,64,Civic Center BART (7th at Market),72,47
2nd at South Park,64,Grant Avenue at Columbus Avenue,73,140
2nd at South Park,64,Steuart at Market,74,242
2nd at South Park,64,Mechanics Plaza (Market at Battery),75,79
2nd at South Park,64,Market at 4th,76,176
2nd at South Park,64,Market at Sansome,77,1710
2nd at South Park,64,Broadway St at Battery St,82,31
Townsend at 7th,65,San Jose Diridon Caltrain Station,2,1
Townsend at 7th,65,Powell Street BART,39,189
Townsend at 7th,65,Clay at Battery,41,24
Townsend at 7th,65,Davis at Jackson,42,60
Townsend at 7th,65,Commercial at Montgomery,45,55
Townsend at 7th,65,Washington at Kearny,46,64
Townsend at 7th,65,Post at Kearny,47,82
Townsend at 7th,65,Embarcadero at Vallejo,48,47
Townsend at 7th,65,Spear at Folsom,49,195
Townsend at 7th,65,Harry Bridges Plaza (Ferry Building),50,735
Townsend at 7th,65,Embarcadero at Folsom,51,188
Townsend at 7th,65,Embarcadero at Bryant,54,211
Townsend at 7th,65,Temporary Transbay Terminal,55,617
Townsend at 7th,65,Beale at Market,56,51
Townsend at 7th,65,5th at Howard,57,125
Townsend at 7th,65,San Francisco City Hall,58,43
Townsend at 7th,65,Golden Gate at Polk,59,145
Townsend at 7th,65,Embarcadero at Sansome,60,81
Townsend at 7th,65,2nd at Townsend,61,565
Townsend at 7th,65,2nd at Folsom,62,331
Townsend at 7th,65,Howard at 2nd,63,525
Townsend at 7th,65,2nd at South Park,64,114
Townsend at 7th,65,Townsend at 7th,65,170
Townsend at 7th,65,South Van Ness at Market,66,499
Townsend at 7th,65,Market at 10th,67,408
Townsend at 7th,65,Yerba Buena Center of the Arts (3rd @ Howard),68,208
Townsend at 7th,65,San Francisco Caltrain 2 (330 Townsend),69,3341
Townsend at 7th,65,San Francisco Caltrain (Townsend at 4th),70,317
Townsend at 7th,65,Powell at Post (Union Square),71,49
Townsend at 7th,65,Civic Center BART (7th at Market),72,1073
Townsend at 7th,65,Grant Avenue at Columbus Avenue,73,35
Townsend at 7th,65,Steuart at Market,74,285
Townsend at 7th,65,Mechanics Plaza (Market at Battery),75,24
Townsend at 7th,65,Market at 4th,76,137
Townsend at 7th,65,Market at Sansome,77,154
Townsend at 7th,65,Broadway St at Battery St,82,16
South Van Ness at Market,66,Powell Street BART,39,271
South Van Ness at Market,66,Clay at Battery,41,21
South Van Ness at Market,66,Davis at Jackson,42,42
South Van Ness at Market,66,Commercial at Montgomery,45,65
South Van Ness at Market,66,Washington at Kearny,46,44
South Van Ness at Market,66,Post at Kearny,47,298
South Van Ness at Market,66,Embarcadero at Vallejo,48,12
South Van Ness at Market,66,Spear at Folsom,49,153
South Van Ness at Market,66,Harry Bridges Plaza (Ferry Building),50,102
South Van Ness at Market,66,Embarcadero at Folsom,51,26
South Van Ness at Market,66,Embarcadero at Bryant,54,13
South Van Ness at Market,66,Temporary Transbay Terminal,55,284
South Van Ness at Market,66,Beale at Market,56,162
South Van Ness at Market,66,5th at Howard,57,45
South Van Ness at Market,66,San Francisco City Hall,58,94
South Van Ness at Market,66,Golden Gate at Polk,59,84
South Van Ness at Market,66,Embarcadero at Sansome,60,255
South Van Ness at Market,66,2nd at Townsend,61,49
South Van Ness at Market,66,2nd at Folsom,62,55
South Van Ness at Market,66,Howard at 2nd,63,39
South Van Ness at Market,66,2nd at South Park,64,49
South Van Ness at Market,66,Townsend at 7th,65,509
South Van Ness at Market,66,South Van Ness at Market,66,136
South Van Ness at Market,66,Market at 10th,67,73
South Van Ness at Market,66,Yerba Buena Center of the Arts (3rd @ Howard),68,74
South Van Ness at Market,66,San Francisco Caltrain 2 (330 Townsend),69,1035
South Van Ness at Market,66,San Francisco Caltrain (Townsend at 4th),70,130
South Van Ness at Market,66,Powell at Post (Union Square),71,56
South Van Ness at Market,66,Civic Center BART (7th at Market),72,187
South Van Ness at Market,66,Grant Avenue at Columbus Avenue,73,25
South Van Ness at Market,66,Steuart at Market,74,138
South Van Ness at Market,66,Mechanics Plaza (Market at Battery),75,127
South Van Ness at Market,66,Market at 4th,76,353
South Van Ness at Market,66,Market at Sansome,77,305
South Van Ness at Market,66,Broadway St at Battery St,82,83
Market at 10th,67,San Salvador at 1st,8,1
Market at 10th,67,Powell Street BART,39,476
Market at 10th,67,Clay at Battery,41,26
Market at 10th,67,Davis at Jackson,42,93
Market at 10th,67,Commercial at Montgomery,45,122
Market at 10th,67,Washington at Kearny,46,165
Market at 10th,67,Post at Kearny,47,374
Market at 10th,67,Embarcadero at Vallejo,48,19
Market at 10th,67,Spear at Folsom,49,116
Market at 10th,67,Harry Bridges Plaza (Ferry Building),50,146
Market at 10th,67,Embarcadero at Folsom,51,17
Market at 10th,67,Embarcadero at Bryant,54,22
Market at 10th,67,Temporary Transbay Terminal,55,209
Market at 10th,67,Beale at Market,56,191
Market at 10th,67,5th at Howard,57,263
Market at 10th,67,San Francisco City Hall,58,43
Market at 10th,67,Golden Gate at Polk,59,177
Market at 10th,67,Embarcadero at Sansome,60,157
Market at 10th,67,2nd at Townsend,61,189
Market at 10th,67,2nd at Folsom,62,158
Market at 10th,67,Howard at 2nd,63,187
Market at 10th,67,2nd at South Park,64,176
Market at 10th,67,Townsend at 7th,65,474
Market at 10th,67,South Van Ness at Market,66,74
Market at 10th,67,Market at 10th,67,177
Market at 10th,67,Yerba Buena Center of the Arts (3rd @ Howard),68,184
Market at 10th,67,San Francisco Caltrain 2 (330 Townsend),69,3035
Market at 10th,67,San Francisco Caltrain (Townsend at 4th),70,420
Market at 10th,67,Powell at Post (Union Square),71,96
Market at 10th,67,Civic Center BART (7th at Market),72,390
Market at 10th,67,Grant Avenue at Columbus Avenue,73,51
Market at 10th,67,Steuart at Market,74,385
Market at 10th,67,Mechanics Plaza (Market at Battery),75,168
Market at 10th,67,Market at 4th,76,606
Market at 10th,67,Market at Sansome,77,508
Market at 10th,67,Broadway St at Battery St,82,30
Yerba Buena Center of the Arts (3rd @ Howard),68,Powell Street BART,39,132
Yerba Buena Center of the Arts (3rd @ Howard),68,Clay at Battery,41,38
Yerba Buena Center of the Arts (3rd @ Howard),68,Davis at Jackson,42,14
Yerba Buena Center of the Arts (3rd @ Howard),68,Commercial at Montgomery,45,207
Yerba Buena Center of the Arts (3rd @ Howard),68,Washington at Kearny,46,59
Yerba Buena Center of the Arts (3rd @ Howard),68,Post at Kearny,47,44
Yerba Buena Center of the Arts (3rd @ Howard),68,Embarcadero at Vallejo,48,27
Yerba Buena Center of the Arts (3rd @ Howard),68,Spear at Folsom,49,53
Yerba Buena Center of the Arts (3rd @ Howard),68,Harry Bridges Plaza (Ferry Building),50,113
Yerba Buena Center of the Arts (3rd @ Howard),68,Embarcadero at Folsom,51,34
Yerba Buena Center of the Arts (3rd @ Howard),68,Embarcadero at Bryant,54,54
Yerba Buena Center of the Arts (3rd @ Howard),68,Temporary Transbay Terminal,55,81
Yerba Buena Center of the Arts (3rd @ Howard),68,Beale at Market,56,55
Yerba Buena Center of the Arts (3rd @ Howard),68,5th at Howard,57,196
Yerba Buena Center of the Arts (3rd @ Howard),68,San Francisco City Hall,58,34
Yerba Buena Center of the Arts (3rd @ Howard),68,Golden Gate at Polk,59,29
Yerba Buena Center of the Arts (3rd @ Howard),68,Embarcadero at Sansome,60,99
Yerba Buena Center of the Arts (3rd @ Howard),68,2nd at Townsend,61,117
Yerba Buena Center of the Arts (3rd @ Howard),68,2nd at Folsom,62,22
Yerba Buena Center of the Arts (3rd @ Howard),68,Howard at 2nd,63,30
Yerba Buena Center of the Arts (3rd @ Howard),68,2nd at South Park,64,74
Yerba Buena Center of the Arts (3rd @ Howard),68,Townsend at 7th,65,260
Yerba Buena Center of the Arts (3rd @ Howard),68,South Van Ness at Market,66,87
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at 10th,67,140
Yerba Buena Center of the Arts (3rd @ Howard),68,Yerba Buena Center of the Arts (3rd @ Howard),68,118
Yerba Buena Center of the Arts (3rd @ Howard),68,San Francisco Caltrain 2 (330 Townsend),69,383
Yerba Buena Center of the Arts (3rd @ Howard),68,San Francisco Caltrain (Townsend at 4th),70,498
Yerba Buena Center of the Arts (3rd @ Howard),68,Powell at Post (Union Square),71,52
Yerba Buena Center of the Arts (3rd @ Howard),68,Civic Center BART (7th at Market),72,40
Yerba Buena Center of the Arts (3rd @ Howard),68,Grant Avenue at Columbus Avenue,73,109
Yerba Buena Center of the Arts (3rd @ Howard),68,Steuart at Market,74,98
Yerba Buena Center of the Arts (3rd @ Howard),68,Mechanics Plaza (Market at Battery),75,32
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at 4th,76,34
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at Sansome,77,72
Yerba Buena Center of the Arts (3rd @ Howard),68,Broadway St at Battery St,82,21
San Francisco Caltrain 2 (330 Townsend),69,Powell Street BART,39,1054
San Francisco Caltrain 2 (330 Townsend),69,Clay at Battery,41,369
San Francisco Caltrain 2 (330 Townsend),69,Davis at Jackson,42,639
San Francisco Caltrain 2 (330 Townsend),69,Commercial at Montgomery,45,295
San Francisco Caltrain 2 (330 Townsend),69,Washington at Kearny,46,175
San Francisco Caltrain 2 (330 Townsend),69,Post at Kearny,47,370
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Vallejo,48,230
San Francisco Caltrain 2 (330 Townsend),69,Spear at Folsom,49,474
San Francisco Caltrain 2 (330 Townsend),69,Harry Bridges Plaza (Ferry Building),50,1593
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Folsom,51,1422
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Bryant,54,227
San Francisco Caltrain 2 (330 Townsend),69,Temporary Transbay Terminal,55,1402
San Francisco Caltrain 2 (330 Townsend),69,Beale at Market,56,534
San Francisco Caltrain 2 (330 Townsend),69,5th at Howard,57,1428
San Francisco Caltrain 2 (330 Townsend),69,San Francisco City Hall,58,177
San Francisco Caltrain 2 (330 Townsend),69,Golden Gate at Polk,59,406
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Sansome,60,452
San Francisco Caltrain 2 (330 Townsend),69,2nd at Townsend,61,306
San Francisco Caltrain 2 (330 Townsend),69,2nd at Folsom,62,460
San Francisco Caltrain 2 (330 Townsend),69,Howard at 2nd,63,1312
San Francisco Caltrain 2 (330 Townsend),69,2nd at South Park,64,276
San Francisco Caltrain 2 (330 Townsend),69,Townsend at 7th,65,2292
San Francisco Caltrain 2 (330 Townsend),69,South Van Ness at Market,66,418
San Francisco Caltrain 2 (330 Townsend),69,Market at 10th,67,1525
San Francisco Caltrain 2 (330 Townsend),69,Yerba Buena Center of the Arts (3rd @ Howard),68,438
San Francisco Caltrain 2 (330 Townsend),69,San Francisco Caltrain 2 (330 Townsend),69,105
San Francisco Caltrain 2 (330 Townsend),69,San Francisco Caltrain (Townsend at 4th),70,36
San Francisco Caltrain 2 (330 Townsend),69,Powell at Post (Union Square),71,101
San Francisco Caltrain 2 (330 Townsend),69,Civic Center BART (7th at Market),72,254
San Francisco Caltrain 2 (330 Townsend),69,Grant Avenue at Columbus Avenue,73,53
San Francisco Caltrain 2 (330 Townsend),69,Steuart at Market,74,1414
San Francisco Caltrain 2 (330 Townsend),69,Mechanics Plaza (Market at Battery),75,349
San Francisco Caltrain 2 (330 Townsend),69,Market at 4th,76,341
San Francisco Caltrain 2 (330 Townsend),69,Market at Sansome,77,1003
San Francisco Caltrain 2 (330 Townsend),69,Broadway St at Battery St,82,406
San Francisco Caltrain (Townsend at 4th),70,Powell Street BART,39,772
San Francisco Caltrain (Townsend at 4th),70,Clay at Battery,41,611
San Francisco Caltrain (Townsend at 4th),70,Davis at Jackson,42,987
San Francisco Caltrain (Townsend at 4th),70,Commercial at Montgomery,45,340
San Francisco Caltrain (Townsend at 4th),70,Washington at Kearny,46,132
San Francisco Caltrain (Townsend at 4th),70,Post at Kearny,47,455
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Vallejo,48,506
San Francisco Caltrain (Townsend at 4th),70,Spear at Folsom,49,608
San Francisco Caltrain (Townsend at 4th),70,Harry Bridges Plaza (Ferry Building),50,2593
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Folsom,51,1409
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Bryant,54,629
San Francisco Caltrain (Townsend at 4th),70,Temporary Transbay Terminal,55,1686
San Francisco Caltrain (Townsend at 4th),70,Beale at Market,56,953
San Francisco Caltrain (Townsend at 4th),70,5th at Howard,57,607
San Francisco Caltrain (Townsend at 4th),70,San Francisco City Hall,58,87
San Francisco Caltrain (Townsend at 4th),70,Golden Gate at Polk,59,215
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Sansome,60,823
San Francisco Caltrain (Townsend at 4th),70,2nd at Townsend,61,802
San Francisco Caltrain (Townsend at 4th),70,2nd at Folsom,62,468
San Francisco Caltrain (Townsend at 4th),70,Howard at 2nd,63,1300
San Francisco Caltrain (Townsend at 4th),70,2nd at South Park,64,242
San Francisco Caltrain (Townsend at 4th),70,Townsend at 7th,65,876
San Francisco Caltrain (Townsend at 4th),70,South Van Ness at Market,66,407
San Francisco Caltrain (Townsend at 4th),70,Market at 10th,67,890
San Francisco Caltrain (Townsend at 4th),70,Yerba Buena Center of the Arts (3rd @ Howard),68,440
San Francisco Caltrain (Townsend at 4th),70,San Francisco Caltrain 2 (330 Townsend),69,55
San Francisco Caltrain (Townsend at 4th),70,San Francisco Caltrain (Townsend at 4th),70,171
San Francisco Caltrain (Townsend at 4th),70,Powell at Post (Union Square),71,157
San Francisco Caltrain (Townsend at 4th),70,Civic Center BART (7th at Market),72,292
San Francisco Caltrain (Townsend at 4th),70,Grant Avenue at Columbus Avenue,73,122
San Francisco Caltrain (Townsend at 4th),70,Steuart at Market,74,1501
San Francisco Caltrain (Townsend at 4th),70,Mechanics Plaza (Market at Battery),75,418
San Francisco Caltrain (Townsend at 4th),70,Market at 4th,76,292
San Francisco Caltrain (Townsend at 4th),70,Market at Sansome,77,1203
San Francisco Caltrain (Townsend at 4th),70,Broadway St at Battery St,82,517
Powell at Post (Union Square),71,Powell Street BART,39,111
Powell at Post (Union Square),71,Clay at Battery,41,63
Powell at Post (Union Square),71,Davis at Jackson,42,131
Powell at Post (Union Square),71,Commercial at Montgomery,45,114
Powell at Post (Union Square),71,Washington at Kearny,46,75
Powell at Post (Union Square),71,Post at Kearny,47,137
Powell at Post (Union Square),71,Embarcadero at Vallejo,48,45
Powell at Post (Union Square),71,Spear at Folsom,49,111
Powell at Post (Union Square),71,Harry Bridges Plaza (Ferry Building),50,175
Powell at Post (Union Square),71,Embarcadero at Folsom,51,44
Powell at Post (Union Square),71,Embarcadero at Bryant,54,80
Powell at Post (Union Square),71,Temporary Transbay Terminal,55,67
Powell at Post (Union Square),71,Beale at Market,56,170
Powell at Post (Union Square),71,5th at Howard,57,112
Powell at Post (Union Square),71,San Francisco City Hall,58,61
Powell at Post (Union Square),71,Golden Gate at Polk,59,46
Powell at Post (Union Square),71,Embarcadero at Sansome,60,236
Powell at Post (Union Square),71,2nd at Townsend,61,158
Powell at Post (Union Square),71,2nd at Folsom,62,81
Powell at Post (Union Square),71,Howard at 2nd,63,314
Powell at Post (Union Square),71,2nd at South Park,64,182
