Start Station,Start Terminal,End Station,End Terminal,Trips
Commercial at Montgomery,45,Davis at Jackson,42,219
Commercial at Montgomery,45,Commercial at Montgomery,45,50
Commercial at Montgomery,45,Washington at Kearny,46,7
Commercial at Montgomery,45,Post at Kearny,47,102
Commercial at Montgomery,45,Embarcadero at Vallejo,48,18
Commercial at Montgomery,45,Spear at Folsom,49,206
Commercial at Montgomery,45,Harry Bridges Plaza (Ferry Building),50,134
Commercial at Montgomery,45,Embarcadero at Folsom,51,73
Commercial at Montgomery,45,Embarcadero at Bryant,54,336
Commercial at Montgomery,45,Temporary Transbay Terminal,55,393
Commercial at Montgomery,45,Beale at Market,56,56
Commercial at Montgomery,45,5th at Howard,57,63
Commercial at Montgomery,45,San Francisco City Hall,58,100
Commercial at Montgomery,45,Golden Gate at Polk,59,23
Commercial at Montgomery,45,Embarcadero at Sansome,60,142
Commercial at Montgomery,45,2nd at Townsend,61,86
Commercial at Montgomery,45,2nd at Folsom,62,26
Commercial at Montgomery,45,Howard at 2nd,63,89
Commercial at Montgomery,45,2nd at South Park,64,79
Commercial at Montgomery,45,Townsend at 7th,65,64
Commercial at Montgomery,45,South Van Ness at Market,66,71
Commercial at Montgomery,45,Market at 10th,67,120
Commercial at Montgomery,45,Yerba Buena Center of the Arts (3rd @ Howard),68,281
Commercial at Montgomery,45,San Francisco Caltrain 2 (330 Townsend),69,297
Commercial at Montgomery,45,San Francisco Caltrain (Townsend at 4th),70,646
Commercial at Montgomery,45,Powell at Post (Union Square),71,122
Commercial at Montgomery,45,Civic Center BART (7th at Market),72,42
Commercial at Montgomery,45,Grant Avenue at Columbus Avenue,73,42
Commercial at Montgomery,45,Steuart at Market,74,74
Commercial at Montgomery,45,Mechanics Plaza (Market at Battery),75,239
Commercial at Montgomery,45,Market at 4th,76,105
Commercial at Montgomery,45,Market at Sansome,77,352
Commercial at Montgomery,45,Broadway St at Battery St,82,90
Washington at Kearny,46,Powell Street BART,39,182
Washington at Kearny,46,Clay at Battery,41,33
